date,rain_7d,rain_30d,rain_60d,rain_deficit_30d,temp_max_7d,temp_max_30d,hot_days_30d,ndvi,ndvi_30d_lag,ndvi_change_30d,ndvi_90d_avg,ndvi_deviation,fire_30d,fire_90d,days_since_fire,doy_sin,doy_cos,dry_season,park_id,ecosystem_id,fire_within_30d,drought_within_30d,vegetation_within_30d,park,ecosystem,ndvi_missing,split
2022-08-04,59.900000000000006,123.5,138.9,-77.93548387096774,29.38571428571429,32.31333333333333,7.0,0.4623375966437645,0.2422264195371916,0.2201111771065729,0.2516204061079628,0.21071719053580168,33.0,383.0,21.0,-0.5431052396834317,-0.8396646346181327,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-05,31.100000000000016,197.3,399.8,23.429032258064524,25.757142857142856,25.573333333333334,0.0,0.5128226061955861,0.099400086552622,0.41342251964296406,0.4016808219209738,0.11114178427461224,0.0,0.0,121.0,-0.5574684374327892,-0.8301981337405212,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-08-05,44.0,158.9,223.7,-58.583870967741944,28.471428571428568,29.696666666666665,0.0,0.2239489166753537,0.2131387509602589,0.0108101657150948,0.17112819166809315,0.05282072500726054,0.0,2.0,59.0,-0.5574684374327892,-0.8301981337405212,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-05,61.20000000000001,124.69999999999999,141.1,-76.73548387096776,29.285714285714285,32.18,7.0,0.4623375966437645,0.2422264195371916,0.2201111771065729,0.2548593861811977,0.20747821046256681,31.0,372.0,22.0,-0.5574684374327892,-0.8301981337405212,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-05,53.599999999999994,280.20000000000005,592.0,17.11935483870974,29.857142857142858,29.296666666666667,0.0,,0.2822084870153806,,0.30735987096939943,,0.0,0.0,116.0,-0.5574684374327892,-0.8301981337405212,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-05,61.8,243.79999999999998,374.0,-45.31290322580648,28.75714285714286,29.986666666666668,0.0,,,,0.27744128391244294,,0.0,0.0,127.0,-0.5574684374327892,-0.8301981337405212,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-05,11.499999999999993,69.60000000000001,287.3,-75.85161290322579,28.25714285714286,29.053333333333335,0.0,0.4957102768504628,,,0.3626007101085641,0.13310956674189872,0.0,0.0,104.0,-0.5574684374327892,-0.8301981337405212,0,5,0,0.0,0.0,0.0,old_oyo,savanna,0,train
2022-08-06,32.100000000000016,202.0,404.3,28.129032258064512,26.171428571428574,25.513333333333332,0.0,0.0594677378121478,0.5848582118751581,-0.5253904740630103,0.39403019057869876,-0.33456245276655094,0.0,0.0,122.0,-0.5716666713027052,-0.8204859638785327,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-08-06,43.400000000000006,243.79999999999998,372.7,-45.31290322580648,28.914285714285715,29.94,0.0,,,,0.2774094018345489,,0.0,0.0,128.0,-0.5716666713027052,-0.8204859638785327,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-06,39.800000000000004,158.20000000000002,223.89999999999998,-59.28387096774193,29.328571428571426,29.603333333333335,0.0,0.2239489166753537,0.2131387509602589,0.0108101657150948,0.1719343563880044,0.0520145602873493,0.0,2.0,60.0,-0.5716666713027052,-0.8204859638785327,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-06,5.499999999999993,68.60000000000001,287.0,-76.85161290322579,28.5,29.07,0.0,0.4957102768504628,,,0.3616247289769878,0.13408554787347504,0.0,0.0,105.0,-0.5716666713027052,-0.8204859638785327,0,5,0,0.0,0.0,0.0,old_oyo,savanna,0,train
2022-08-06,42.199999999999996,286.0,592.2,22.919354838709694,30.1,29.28666666666667,0.0,,0.2822084870153806,,0.30735987096939943,,0.0,0.0,117.0,-0.5716666713027052,-0.8204859638785327,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-06,59.20000000000001,125.3,141.7,-76.13548387096775,29.8,31.986666666666665,6.0,0.5544568969415115,0.2553651508292419,0.2990917461122696,0.25822701506534257,0.2962298818761689,18.0,370.0,23.0,-0.5716666713027052,-0.8204859638785327,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-07,39.300000000000004,158.10000000000002,223.0,-59.38387096774193,29.514285714285716,29.513333333333332,0.0,0.3146443048227627,0.2597384992971096,0.05490580552565305,0.1742536360479259,0.14039066877483677,0.0,2.0,61.0,-0.5856957398073508,-0.8105309990194823,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-07,3.399999999999993,67.5,286.9,-77.9516129032258,28.88571428571429,29.103333333333335,0.0,0.4957102768504628,,,0.36064874784541145,0.13506152900505136,0.0,0.0,106.0,-0.5856957398073508,-0.8105309990194823,0,5,0,0.0,0.0,0.0,old_oyo,savanna,0,train
2022-08-07,43.2,233.5,372.7,-55.61290322580646,29.400000000000002,29.856666666666666,0.0,,,,0.27737668075460487,,0.0,0.0,129.0,-0.5856957398073508,-0.8105309990194823,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
